Object ID,State GNIS Code,Geographic Identifier - FIPS Code,State FIPS Postal Code,Name,Area of Land (Square Meters),Area of Water (Square Meters),Total Population,Total Population - Margin of Error,Non-Hispanic White Population,Non-Hispanic White Population - Margin of Error,Black or African American Population,Black or African American Population - Margin of Error,American Indian and Alaska Native Population,American Indian and Alaska Native Population - Margin of Error,Asian Population,Asian Population - Margin of Error,Native Hawaiian and Other Pacific Islander Population,Native Hawaiian and Other Pacific Islander Population - Margin of Error,Some Other Race Population,Some Other Race Population - Margin of Error,Two or More Races Population,Two or More Races Population - Margin of Error,Hispanic or Latino Population,Hispanic or Latino Population - Margin of Error,Percent of Population that is Non-Hispanic White,Percent of Population that is Non-Hispanic White - Margin of Error,Percent of Population that is Black or African American,Percent of Population that is Black or African American - Margin of Error,Percent of Population that is American Indian and Alaska Native,Percent of Population that is American Indian and Alaska Native - Margin of Error,Percent of Population that is Asian,Percent of Population that is Asian - Margin of Error,Percent of Population that is Native Hawaiian and Other Pacific Islander,Percent of Population that is Native Hawaiian and Other Pacific Islander - Margin of Error,Percent of Population that is Some Other Race,Percent of Population that is Some Other Race - Margin of Error,Percent of Population that is 2 or More Races,Percent of Population that is 2 or More Races - Margin of Error,Percent of Population that is Hispanic or Latino,Percent of Population that is Hispanic or Latino - Margin of Error,Shape Area,Shape Length
1,01779775,01,AL,Alabama,131174048583,4593327154,4864680,,3196730,847,1285737,2516,23243,1178,63936,1243,1521,265,7503,1299,82864,3183,203146,393,65.7,,26.4,,0.5,,1.3,,0,,0.2,,1.7,,4.2,,190122625832.525,2312415.89178446
2,01785533,02,AK,Alaska,1478839695958,245481577452,738516,,450754,457,22817,675,103506,1355,45617,969,8544,413,1459,566,54633,1766,51186,121,61,,3.1,,14,,6.2,,1.2,,0.2,,7.4,,6.9,,8208933682478.09,63996878.6025828
3,01779777,04,AZ,Arizona,294198551143,1027337603,6946685,,3825886,1181,286614,2564,271946,1835,222477,2133,12523,512,9177,1298,154750,3960,2163312,,55.1,,4.1,,3.9,,3.2,,0.2,,0.1,,2.2,,31.1,,434058036475.438,2904949.8979294
4,00068085,05,AR,Arkansas,134768872727,2962859592,2990671,,2173849,793,458536,1812,17342,977,43441,1080,7877,627,4641,985,65933,2122,219052,321,72.7,,15.3,,0.6,,1.5,,0.3,,0.2,,2.2,,7.3,,205326115241.953,2656504.35896412
5,01779778,06,CA,California,403503931312,20463871877,39148760,,14695836,3121,2164519,6255,138427,2841,5525439,8702,138911,2227,97763,3056,1166288,13507,15221577,,37.5,,5.5,,0.4,,14.1,,0.4,,0.2,,3,,38.9,,650088043494.613,5274812.47760218
6,01779779,08,CO,Colorado,268422891711,1181621593,5531141,,3778212,1322,216732,2260,30131,1090,169556,1824,7480,415,10352,1333,133884,3379,1184794,366,68.3,,3.9,,0.5,,3.1,,0.1,,0.2,,2.4,,21.4,,447310993087.215,2708265.22753582
7,01779780,09,CT,Connecticut,12542497068,1815617571,3581504,,2418696,1034,351817,1870,5320,598,157406,1395,752,200,11421,1287,74301,2467,561791,,67.5,,9.8,,0.1,,4.4,,0,,0.3,,2.1,,15.7,,23146187281.7422,782072.641636725
8,01779781,10,DE,Delaware,5045925646,1399985648,949495,,595623,324,204665,1116,2851,369,36464,705,276,73,1804,431,21497,1293,86315,,62.7,,21.6,,0.3,,3.8,,0,,0.2,,2.3,,9.1,,8697981313.87109,610862.733093048
9,01702382,11,DC,District of Columbia,158340391,18687198,684498,,248057,358,315281,1027,1314,186,26278,594,280,75,2648,621,15864,1026,74776,,36.2,,46.1,,0.2,,3.8,,0,,0.4,,2.3,,10.9,,292745374.59375,86300.673721702
10,00294478,12,FL,Florida,138949136250,31361101223,20598139,,11196857,3346,3167011,6159,41776,1520,548642,3109,10770,846,68744,3694,379619,8121,5184720,,54.4,,15.4,,0.2,,2.7,,0.1,,0.3,,1.8,,25.2,,196197901321.74,4679537.4653303
11,01705317,13,GA,Georgia,149482048342,4422936154,10297484,,5476441,1796,3195363,4327,18416,867,399223,2451,5070,777,30394,2625,204114,5601,968463,561,53.2,,31,,0.2,,3.9,,0,,0.3,,2,,9.4,,215997640119.135,2584480.72655766
12,01779782,15,HI,Hawaii,16633990195,11777809026,1422029,,314536,292,24472,823,1877,287,522731,4215,132583,2094,1591,346,276277,4550,147962,,22.1,,1.7,,0.1,,36.8,,9.3,,0.1,,19.4,,10.4,,19095078901.4648,1616131.61853346
13,01779783,16,ID,Idaho,214049787659,2391722557,1687809,,1387654,351,10739,752,18775,741,22809,927,2348,333,1038,257,35373,1686,209073,151,82.2,,0.6,,1.1,,1.4,,0.1,,0.1,,2.1,,12.4,,424674772540.313,4197454.52262378
14,01779784,17,IL,Illinois,143780567633,6214824948,12821497,,7894286,1461,1796057,3855,15037,817,685343,2738,3088,386,20105,1493,232739,4293,2174842,292,61.6,,14,,0.1,,5.3,,0,,0.2,,1.8,,17,,249654111715.992,2747061.68160052
15,00448508,18,IN,Indiana,92789302676,1538002829,6637426,,5275162,898,610343,3214,12125,764,143883,1769,2133,239,9793,982,133720,3846,450267,166,79.5,,9.2,,0.2,,2.2,,0,,0.1,,2,,6.8,,159577609905.43,2230319.84193817
16,01779785,19,IA,Iowa,144661267977,1084180812,3132499,,2695888,609,107471,1631,9067,611,74640,1145,2863,320,2806,696,56468,1934,183296,221,86.1,,3.4,,0.3,,2.4,,0.1,,0.1,,1.8,,5.9,,264809367650.07,2527129.51069338
17,00481813,20,KS,Kansas,211755344060,1344141205,2908776,,2214543,442,163713,1723,19504,773,82887,1288,1827,265,2302,441,83384,2435,340616,49,76.1,,5.6,,0.7,,2.8,,0.1,,0.1,,2.9,,11.7,,348444215501.098,2570737.6070544
18,01779786,21,KY,Kentucky,102279490672,2375337755,4440204,,3764082,933,349407,2370,8498,603,62432,1144,2339,272,6057,901,88645,2747,158744,523,84.8,,7.9,,0.2,,1.4,,0.1,,0.1,,2,,3.6,,166712187197.746,2753450.11548372
19,01629543,22,LA,Louisiana,111897594374,23753621895,4663616,,2744265,935,1492230,2611,24014,909,79137,1104,1154,234,8905,1044,78991,3119,234920,422,58.8,,32,,0.5,,1.7,,0,,0.2,,1.7,,5,,167579279928.855,4198730.37851652
20,01779787,23,ME,Maine,79887426037,11746549764,1332813,,1244525,306,16990,714,7722,457,14814,523,258,103,843,277,26240,919,21421,,93.4,,1.3,,0.6,,1.1,,0,,0.1,,2,,1.6,,172395493965.668,3775973.49711918
21,01714934,24,MD,Maryland,25151100280,6979966958,6003435,,3084868,1270,1759438,3235,10949,678,371981,2153,2265,286,19368,1778,165654,3752,588912,,51.4,,29.3,,0.2,,6.2,,0,,0.3,,2.8,,9.8,,44906383381.6367,3051475.45505454
22,00606926,25,MA,Massachusetts,20205125364,7129925486,6830193,,4930412,2445,463796,2882,8890,709,440336,2121,1698,364,53268,3281,142666,3762,789127,320,72.2,,6.8,,0.1,,6.4,,0,,0.8,,2.1,,11.6,,38926696230.6953,1986537.52628488
23,01779789,26,MI,Michigan,146600952990,103885855702,9957488,,7489371,1062,1360345,3492,45772,1315,303059,1909,2464,351,14334,1208,244246,4439,497897,71,75.2,,13.7,,0.5,,3,,0,,0.1,,2.5,,5,,296352305373.277,6631912.54004601
24,00662849,27,MN,Minnesota,206228939448,18945217189,5527358,,4438071,845,336505,2742,53168,1023,260797,1627,1799,292,7021,905,137233,3436,292764,77,80.3,,6.1,,1,,4.7,,0,,0.1,,2.5,,5.3,,458774194717.879,4506552.19707327
25,01779790,28,MS,Mississippi,121533519481,3926919758,2988762,,1696952,439,1121752,2388,12990,656,28170,816,654,198,2858,636,34893,2249,90493,722,56.8,,37.5,,0.4,,0.9,,0,,0.1,,1.2,,3,,175235316695.004,3003226.57862831
26,01779791,29,MO,Missouri,178050802184,2489425460,6090062,,4848330,1169,699730,2562,23566,991,115311,1398,6037,655,9826,1373,138157,3173,249105,258,79.6,,11.5,,0.4,,1.9,,0.1,,0.2,,2.3,,4.1,,294363343083.359,3050108.17717652
27,00767982,30,MT,Montana,376962738765,3869208832,1041732,,898953,234,4348,317,64643,1013,7806,484,706,168,486,193,25771,1129,39019,84,86.3,,0.4,,6.2,,0.7,,0.1,,0,,2.5,,3.7,,820172629338.281,4615722.95252931
28,01779792,31,NE,Nebraska,198956658395,1371829134,1904760,,1512314,436,88442,1204,13918,563,43839,886,1091,199,1982,413,39893,1567,203281,36,79.4,,4.6,,0.7,,2.3,,0.1,,0.1,,2.1,,10.7,,357863769082.871,2922199.15936517
29,01779793,32,NV,Nevada,284329506470,2047206072,2922849,,1458093,837,249967,2226,26355,823,229928,2146,17703,556,8693,1072,100513,3351,831597,,49.9,,8.6,,0.9,,7.9,,0.6,,0.3,,3.4,,28.5,,480296959354.523,3054837.00039464
30,01779794,33,NH,New Hampshire,23189413166,1026675248,1343622,,1214547,471,17622,722,1838,290,35848,770,270,86,1323,407,23818,1031,48356,209,90.4,,1.3,,0.1,,2.7,,0,,0.1,,1.8,,3.6,,45993313981.2422,1325725.46016365
31,01779795,34,NJ,New Jersey,19047825980,3544860246,8881845,,4960005,1670,1129257,3129,9599,636,826944,2549,2255,218,36881,2145,148884,3773,1768020,,55.8,,12.7,,0.1,,9.3,,0,,0.4,,1.7,,19.9,,34585251558.0195,1108954.77082574
32,00897535,35,NM,New Mexico,314196306401,728776523,2092434,,788308,639,38016,1067,183408,1162,29571,1019,1046,227,4056,640,32278,1896,1015751,,37.7,,1.8,,8.8,,1.4,,0,,0.2,,1.5,,48.5,,464401254928.867,2900289.74311495
33,01779796,36,NY,New York,122049149763,19246994695,19618453,,10959534,2748,2808679,4596,46139,1401,1616028,4456,5591,677,105032,4281,371862,6041,3705588,,55.9,,14.3,,0.2,,8.2,,0,,0.5,,1.9,,18.9,,237353385392.078,3682010.17010104
34,01027616,37,NC,North Carolina,125923656064,13466071395,10155624,,6433039,1516,2146254,4749,111360,1289,280059,1938,5677,507,22615,2111,220670,5381,935950,99,63.3,,21.1,,1.1,,2.8,,0.1,,0.2,,2.2,,9.2,,195801753003.506,4403735.8828274
35,01779797,38,ND,North Dakota,178707534813,4403267548,752201,,639477,485,20113,767,38308,687,10664,497,366,154,972,499,15772,1072,26529,107,85,,2.7,,5.1,,1.4,,0,,0.1,,2.1,,3.5,,400350928827.844,3125578.96415313
36,01085497,39,OH,Ohio,105828882568,10268850702,11641879,,9220638,1492,1418048,4353,17723,953,247987,2081,3055,386,18848,1650,284253,4991,431327,293,79.2,,12.2,,0.2,,2.1,,0,,0.2,,2.4,,3.7,,184250016903.082,2145537.3902456
37,01102857,40,OK,Oklahoma,177662925723,3374587997,3918137,,2586110,626,282622,1720,280638,2635,82318,1093,3982,514,4790,572,270156,3712,407521,,66,,7.2,,7.2,,2.1,,0.1,,0.1,,6.9,,10.4,,274418929032.125,3307801.49902582
38,01155107,41,OR,Oregon,248606993270,6192386935,4081943,,3103557,1164,74356,1403,36776,1501,172505,1873,15301,597,6410,1118,149082,2810,523956,,76,,1.8,,0.9,,4.2,,0.4,,0.2,,3.7,,12.8,,485172367900.613,3245538.65057504
39,01779798,42,PA,Pennsylvania,115884442321,3394589990,12791181,,9826865,1448,1360576,4028,14419,1003,424597,2084,2702,290,20860,1761,236006,4501,905156,108,76.8,,10.6,,0.1,,3.3,,0,,0.2,,1.8,,7.1,,205470650971.238,2099403.10040633
40,01219835,44,RI,Rhode Island,2677779902,1323670487,1056611,,767727,796,59001,1171,3708,535,35128,856,684,274,7090,999,24415,1332,158858,,72.7,,5.6,,0.4,,3.3,,0.1,,0.7,,2.3,,15,,5138826412.45703,684858.781468928
41,01779799,45,SC,South Carolina,77864918488,5075218778,4955925,,3156973,826,1328352,2761,14187,681,74278,1243,2812,472,8584,1199,95054,3151,275685,94,63.7,,26.8,,0.3,,1.5,,0.1,,0.2,,1.9,,5.6,,117400772448.367,1913780.73006024
42,01785534,46,SD,South Dakota,196346981786,3382720225,864289,,710810,338,15840,724,72263,1014,12540,479,236,90,647,361,19958,1496,31995,223,82.2,,1.8,,8.4,,1.5,,0,,0.1,,2.3,,3.7,,391981981880.488,2963038.79879796
43,01325873,47,TN,Tennessee,106802728188,2350123465,6651089,,4924145,1192,1107218,3096,15172,977,112015,1490,3318,476,9686,1291,127133,3639,352402,309,74,,16.6,,0.2,,1.7,,0,,0.1,,1.9,,5.3,,166479132010.395,2621414.14746378
44,01779801,48,TX,Texas,676653171537,19006305260,27885195,,11807263,2579,3269253,5872,68452,1809,1292813,4791,20381,1009,42354,3075,463123,7830,10921556,206,42.3,,11.7,,0.2,,4.6,,0.1,,0.2,,1.7,,39.2,,948772603667.359,8498747.68231443
45,01455989,49,UT,Utah,212886221680,6998824394,3045350,,2394238,893,33713,1120,28047,907,68747,1324,26607,965,4802,786,67073,2098,422123,,78.6,,1.1,,0.9,,2.3,,0.9,,0.2,,2.2,,13.9,,368286055480.023,2557182.52571818
46,01779802,50,VT,Vermont,23874175944,1030416650,624977,,581023,193,7602,394,1867,269,10541,406,170,68,898,258,11199,673,11677,,93,,1.2,,0.3,,1.7,,0,,0.1,,1.8,,1.9,,48272262368.6875,1281146.38406649
47,01779803,51,VA,Virginia,102257717110,8528531774,8413774,,5233111,1233,1582421,4598,17747,828,526973,3342,4740,427,21295,1586,256310,5272,771177,504,62.2,,18.8,,0.2,,6.3,,0.1,,0.3,,3,,9.2,,167393387789.438,3720009.40071729
48,01779804,53,WA,Washington,172112588220,12559278850,7294336,,5039208,1154,259482,2746,80274,1720,602020,3017,46476,1121,12077,1222,343226,4201,911573,,69.1,,3.6,,1.1,,8.3,,0.6,,0.2,,4.7,,12.5,,383121257587.906,5712576.49965079
49,01779805,54,WV,West Virginia,62266474513,489028543,1829054,,1684756,942,65597,1114,3546,476,14353,592,309,127,3060,779,29911,1233,27522,460,92.1,,3.6,,0.2,,0.8,,0,,0.2,,1.6,,1.5,,103045995644.488,2614070.38582527
50,01779806,55,WI,Wisconsin,140290039723,29344951758,5778394,,4711038,705,361909,2005,46149,1088,158198,1278,1676,396,4807,698,108838,2777,385779,,81.5,,6.3,,0.8,,2.7,,0,,0.1,,1.9,,6.7,,287412766182.25,3531267.26152137
51,01779807,56,WY,Wyoming,251458544898,1867670745,581836,,489559,152,5149,565,12717,594,4660,502,434,231,227,134,12124,863,56966,184,84.1,,0.9,,2.2,,0.8,,0.1,,0,,2.1,,9.8,,474197554689.898,2777134.58728037
52,01779808,72,PR,Puerto Rico,8868896030,4922382562,3386941,,28015,1580,3107,510,59,36,2337,662,44,39,2289,420,1750,398,3349340,1879,0.8,,0.1,,0,,0.1,,0,,0.1,,0.1,,98.9,,9987439695.85156,764185.625731979
