modzcta,Child Health Center,Diagnostic & Treatment Center,Acute Care Hospital,Nursing Home,avg
10001,2127.586765473789,4279.396072520567,2127.586765473789,4173.270211492677,3176.9599537402055
10002,347.8432745753471,347.8432745753471,2769.1815589891244,347.8432745753471,953.1778456787914
10003,829.6359011465611,2112.383868444802,1371.1409087202494,2112.383868444802,1606.3861366891035
10004,1595.9982358317418,2374.707146341962,5035.970053269352,2374.707146341962,2845.3456454462544
10005,1158.106370690516,1947.186133419547,4615.651015466935,1947.186133419547,2417.0324132491364
10006,1334.9938876112,2179.1758507147024,4535.430945683653,2179.1758507147024,2557.194133681064
10007,872.620861689327,1689.6553422865582,3871.5487554361907,1689.6553422865582,2030.8700754246584
10009,340.1107060108221,1680.9167632115307,1481.5151222829834,1680.9167632115307,1295.8648386792167
10010,509.0883239312597,2948.970447642433,509.0883239312597,2948.970447642433,1729.0293857868464
10011,1997.5216953850813,3373.3026985973174,1997.5216953850813,3373.3026985973174,2685.4121969911994
10012,470.8695739008086,1668.5406919087868,2393.7541409313235,1668.5406919087868,1550.4262746624263
10013,784.5114234443912,1658.0050223462022,3220.173534689859,1658.0050223462022,1830.1737507066637
10014,1631.5803554419026,2833.984481759511,2588.107856574156,2833.984481759511,2471.91429388377
10016,633.8661115084434,3675.3385617697236,633.8661115084434,3032.8286885524826,1993.9748683347734
10017,1465.681777347404,4577.409336475135,1465.681777347404,2209.207368468631,2429.4950649096436
10018,2201.635560148505,4724.032422427471,2201.635560148505,3682.568547120663,3202.468022461286
10019,2957.3648184587573,5794.127952829585,2957.3648184587573,3058.9088028172127,3691.9415981410784
10021,2118.8970290038174,4526.222184606675,2118.8970290038174,1093.0825603525773,2464.274700741722
10022,2233.193683979745,5349.391258723961,2233.193683979745,1571.0725899537692,2846.712804159305
10023,3418.8676641913958,4665.341188212214,3418.8676641913958,3161.6873529962754,3666.1909673978203
10024,2752.889393319048,2892.5361034074854,2752.889393319048,3947.888490702836,3086.5508451871046
10025,1892.624891593429,1892.624891593429,2479.090434298477,4303.029432492444,2641.842412494445
10026,826.2860030855788,826.2860030855788,1667.75742422075,4492.699426908895,1953.2572143252005
10027,305.10482494038865,434.87341475451984,1098.5454809139328,5539.303902117234,1844.456905681519
10028,1219.4533574596144,3672.3606577671685,1219.4533574596144,1632.5056991095958,1935.9432679489983
10029,801.253184749464,2000.0356747120973,801.253184749464,3347.51724946609,1737.5148234192789
10030,425.901601779903,1132.1694293366188,487.589386751817,6286.053162171349,2082.928395009922
10031,732.9382551265145,1771.880221914539,1458.2740720646746,7030.043583007637,2748.284033028341
10032,351.0031986999199,1947.3408723217933,2731.7791790191977,8554.824140706698,3396.2368476869024
10033,1154.4360452906285,2003.2870151717423,3735.5902750360237,9921.664193200788,4203.744382174796
10034,579.5880983783882,3488.7157774762004,3870.7383565163923,11885.712682582373,4956.188728738338
10035,400.8022577230705,1953.2328324865186,1703.6721731273617,4097.716387449696,2038.8559126966618
10036,2436.955852379307,5147.15896225524,2436.955852379307,3367.1231838245662,3347.0484627096052
10037,305.40598835991494,1071.8638834453056,305.40598835991494,5760.536778559446,1860.8031596811454
10038,482.31496806578485,1298.744577416856,3976.357386798737,1298.744577416856,1764.0403774245583
10039,1093.3663092490087,1479.850160584949,1776.2737235402205,7731.456805122888,3020.236749624267
10040,693.5012898978163,2639.5703867465286,4542.23475963961,10823.983616758616,4674.822513260643
10044,2566.788394012812,5266.299634762475,2566.788394012812,8.45439337382353,2602.082704040481
10065,2751.197846104815,5103.699179806742,2751.197846104815,1147.4682768625296,2938.3907872197256
10069,4037.7918214859897,5077.924392505276,4037.7918214859897,3734.8829756477458,4222.09775278125
10075,1628.2344305591942,4060.2681669080516,1628.2344305591942,1334.5670539008597,2162.8260204818253
10128,642.4705067113644,3097.014510631322,642.4705067113644,2163.842208095697,1636.449433037437
10280,1641.4758730904405,2486.11644964491,4772.952660806479,2486.11644964491,2846.6653582966846
10282,1561.1226357055048,2355.0835448346334,4150.587808269672,2355.0835448346334,2605.469383411111
10301,1636.5335557612352,12580.185870767973,11960.275317284026,4506.473438238713,7670.867045512988
10302,1734.162762149516,15431.985470183672,15353.999839526745,3660.718336139728,9045.216601999915
10303,1190.1332674957432,17746.880339079755,17929.056188946804,4938.121703770539,10451.047874823209
10304,2716.74244588023,14063.181267654272,11084.388245291742,3293.5773295845647,7789.4723221027025
10305,3456.228120184563,13888.804395139741,9329.813217958173,4776.391549520811,7862.809320700822
10306,6631.0142082038765,18650.6932416602,13625.521302423014,2976.82929295422,10471.014511310328
10307,14861.51205180164,30478.930609291754,24766.8406925235,13541.956212776182,20912.30989159827
10308,8297.036881500238,21713.41774498121,16111.677236313564,5387.967855686077,12877.524929620271
10309,11799.419976713854,27538.101571813684,22431.6935949524,10547.696737945673,18079.227970356405
10310,3378.011822545841,13733.13401108488,13701.175982979154,4045.724706794207,8714.51163085102
10312,9222.751779300695,24078.06213206317,18852.176761071474,7230.983988931139,14845.993665341619
10314,3068.3807955670795,19289.826567635915,17042.193388298878,2941.014221742956,10585.353743311207
10451,335.91336049462194,1317.1148332155801,335.91336049462194,6884.445119298271,2218.346668375774
10452,330.6709075423925,330.6709075423925,2185.505001124537,8665.933962549456,2878.1951946896943
10453,1375.739245204167,1900.8159985601974,3947.3070185140546,10491.31319943046,4428.79386542722
10454,642.9880126223011,514.7592791103217,1498.6560504086842,5594.153469802642,2062.639202985987
10455,999.3246214206782,861.099951934553,1359.0375938561813,6819.679540357109,2509.78542689213
10456,291.42878751147686,1206.9303197241936,1916.8150514688632,8328.33213287241,2935.8765728942362
10457,493.5891266339468,2192.1062157622277,3916.982587210097,10403.341406969055,4251.504834143831
10458,2066.576492862162,3995.703303842609,2066.576492862162,12325.647400884582,5113.625922612879
10459,1568.692809631816,2540.906469878716,2784.9691771766156,8570.698236882803,3866.3166733924877
10460,1286.3375612918283,3472.7035384898913,3281.4615957360334,10667.520272917951,4677.005742108926
10461,1217.2259241491654,6820.559202225696,1217.2259241491654,13238.600886258128,5623.402984195538
10462,1912.7945581662586,5224.305233277612,1912.7945581662586,11831.100162343064,5220.248627988298
10463,2100.424729406982,5116.963226076065,2100.424729406982,13698.670097685797,5754.120695643956
10464,3948.090603662498,10585.669329928636,3948.090603662498,17222.850626917374,8926.175291042751
10465,4219.4687560860575,8071.51167937398,4219.4687560860575,12744.850783788024,7313.82499383353
10466,2076.473181336122,8742.990475231343,3225.6174978128965,16801.318378020536,7711.599883100224
10467,645.4245579769849,6332.636534826573,645.4245579769849,14686.13103227228,5577.404170763206
10468,2057.8709668122897,3965.5118173591127,2057.8709668122897,12527.707736244702,5152.240371807098
10469,1124.6230332613309,7158.8499063390655,1263.9254774075562,14702.873985607597,6062.568100653887
10470,2068.773496652261,7983.894217953945,2068.773496652261,16409.902140050875,7132.835837827336
10471,2701.141241435843,7233.793554500567,2701.141241435843,15811.260434118429,7111.83411787267
10472,2659.361382299321,4328.918078526938,3641.777023745885,10129.09999806265,5189.789120658698
10473,4169.8979689044,4981.998669169717,4478.816223442315,9912.366232869617,5885.769773596512
10474,2926.8719123914743,2716.162488323742,3430.4266940818948,7720.223177588856,4198.421068096492
10475,2234.8118133391235,8824.335698155233,2234.8118133391235,15892.223124852424,7296.545612421476
11004,7934.206054145986,17719.229414587986,7934.206054145986,20249.516602029933,13459.289531227474
11101,2333.168816651939,5621.193095216362,3313.57025763607,1914.9912883496088,3295.730864463495
11102,2018.5254307760617,4248.332302254728,2018.5254307760617,2345.70000007585,2657.770790970675
11103,2062.5788663987464,5287.270482632985,3538.7637801542933,3087.4481459116505,3494.0153187744186
11104,1297.7600208877764,6701.158622210937,3595.5586686025276,3167.5204849855536,3690.499449171699
11105,3086.0530137100254,3572.0791344337727,3226.7944472746053,4145.118342596877,3507.5112345038197
11106,2724.0853113632115,5480.934437573209,2724.0853113632115,1539.2575775533112,3117.0906594632356
11109,1807.199774445463,4517.692758088215,1807.199774445463,1848.1771366046762,2495.067360895954
11201,668.9901096426865,1129.5615298452758,4104.558226299564,2031.7330943606567,1983.7107400370458
11203,1109.5529743134055,4140.712063403144,1109.5529743134055,1250.1970466095968,1902.503764659888
11204,3913.5889798793846,8511.297431172177,3913.5889798793846,5961.64871368835,5575.031026154824
11205,720.1030716364802,849.7515357679852,2176.771721784093,2712.906364895365,1614.883173520981
11206,170.11430115705815,2962.1018424454887,170.11430115705815,4009.9734538658076,1828.075974656353
11207,150.75217563086565,150.75217563086565,4578.651068866786,4029.293377203543,2227.3621993330153
11208,733.1302154405814,2077.9350101847745,6369.980995178388,5873.790093353165,3763.7090785392274
11209,4010.162977617548,9326.476841743977,6690.603748494531,8735.634061964864,7190.71940745523
11210,2994.72601111091,6507.591119539698,3068.2192787137865,3584.8862646817292,4038.855668511531
11211,404.08449123817604,2722.6975822092827,1650.7535276350204,2892.71313629007,1917.5621843431375
11212,258.38476830586427,1809.3942786546215,2792.153547750802,2284.1448074051027,1786.0193505290977
11213,273.5535005610724,3478.716490577594,1840.7359289527324,1257.797850394407,1712.7009426214513
11214,2318.300496365971,10839.063435456055,2900.5731045635857,8317.681657655363,6093.904673510244
11215,3301.3560934726816,3732.9243113036187,3648.11935915766,3993.844280535864,3669.061011117456
11216,1383.9298621461485,2778.5535848969416,2286.582345304638,2439.4627118400226,2222.1321260469376
11217,1100.200501003396,1438.0440993186837,3771.0811141836098,3449.063986128277,2439.5974251584917
11218,2983.9230852899823,5737.017841121738,2983.9230852899823,3578.1035756700553,3820.7418968429392
11219,5091.918659904781,7149.795711790191,5091.918659904781,5693.64674756931,5756.819944792266
11220,5365.683336371243,6901.75802030445,6290.506990747065,6823.3835868987635,6345.33298358038
11221,701.6258223772942,3501.49396131173,1547.322166415988,3615.893014205368,2341.5837410775953
11222,569.2847590222149,3793.702629354832,2755.4348631539983,3746.1840122043905,2716.151565933859
11223,1333.6168467912776,10618.870244297494,1333.6168467912776,7541.353020894065,5206.864239693528
11224,217.55184292394944,13198.634678975634,2222.199276952024,10140.158257787261,6444.636014159717
11225,1143.9897595954649,4020.4712854217355,1143.9897595954649,1267.2687315855856,1893.9298840495626
11226,1448.0304284614942,5654.795358882427,1448.0304284614942,2078.922916968712,2657.4447831935317
11228,4689.970591145913,9249.386679175077,5208.446931022701,7849.098774366842,6749.225743927634
11229,10.654768886855996,8897.256361106694,2423.4167897426373,6550.763284672961,4470.522801102287
11230,2911.5319620557457,8095.160083643016,3944.255938843921,4722.335888181367,4918.320968181012
11231,2461.2182569750694,3081.743242047979,5604.307909870492,4168.534262645561,3828.9509178847757
11232,4449.581324954502,4996.082147833396,5128.987114200738,5561.729408641891,5034.094998907632
11233,1133.5355558481453,2205.885771558711,3075.457890482236,2630.3413545631406,2261.3051431130584
11234,2917.761223196699,7330.497845991749,5182.953177702992,6380.641661716938,5452.963477152095
11235,1402.3063302470816,10808.350776067888,1402.3063302470816,8496.31764022863,5527.32026919767
11236,2891.4150730304386,3588.183601197798,4052.1249381349,3931.4732940542644,3615.79922660435
11237,1055.5884851743126,4182.940387470703,1799.7965991120384,5151.025619071829,3047.337772707221
11238,1287.657999901027,2060.4785815233527,3021.0792230782095,2940.239472740153,2327.363819310686
11239,2728.6480084465898,2921.5010842233196,5344.077271462287,5046.151374832806,4010.0944347412506
11354,3030.0643920163966,8854.49449982108,5447.930297049798,10392.437344923213,6931.231633452622
11355,2711.9042774133336,10384.33483774489,4878.627357353331,10954.495056458194,7232.340382242437
11356,4027.772926298093,6947.486394692609,5996.787197452105,9506.710509203618,6619.689256911606
11357,5407.572727129417,9313.547061680463,7772.510139939106,12046.87683613969,8635.126691222169
11358,4933.310947681937,11564.954497801406,5267.50006861288,12973.129421760024,8684.723733964061
11360,7080.209047642016,11894.989313793878,7721.764234500596,14457.921228039957,10288.720955994111
11361,5880.252251096639,13230.666168246024,5880.252251096639,14995.014357513306,9996.546256988151
11362,6744.052676196053,16303.391495527343,6744.052676196053,17996.41051777426,11946.976841423428
11363,7699.032119028954,14964.248541836627,7699.032119028954,17228.157714095272,11897.617623497452
11364,4492.061694064388,13990.002569151411,4492.061694064388,16103.4174391236,9769.385849100947
11365,2965.051532915535,11344.273316040126,2965.051532915535,13336.21815628128,7652.648634538119
11366,1795.048987639922,11211.855558353744,1795.048987639922,14435.507027290818,7309.365140231102
11367,3113.4558434545124,8718.272719462902,3417.0648417564626,11021.00983760432,6567.4508105695495
11368,38.111983453278704,8634.703924640922,2487.930885493661,8338.793454613662,4874.885062050381
11369,2127.6525625665563,5891.322067691845,3389.432756620845,6563.105560415515,4492.878236823691
11370,2696.396506412676,4557.740398324917,4182.002331361651,5509.9820133346975,4236.530312358485
11372,6.37301033006296,7067.831190145931,1508.3249638229172,5718.59671555709,3575.2814699640003
11373,18.05792624943673,7557.794285722163,18.05792624943673,6562.53279204652,3539.110732566889
11374,1970.7836455348906,6687.166201150953,1970.7836455348906,8452.800295745476,4770.383446991553
11375,3245.0304224368465,6836.457626450225,3359.7212637309735,9883.282804910154,5831.12302938205
11377,49.395566397586805,7318.226109001723,2363.9661820252927,4238.77657636107,3492.591108446418
11378,2300.745130168162,5985.206351595763,3045.6137941525026,5369.800368427605,4175.3414110860085
11379,2440.2171519707294,5146.306405500302,2440.2171519707294,7783.417211206944,4452.539480162176
11385,1307.9663885025664,3258.8784504463642,4298.7548920704785,6190.061446889575,3763.915294477246
11411,2996.4031052822697,13683.158915392189,5240.792196273061,17639.045036838914,9889.849813446608
11412,2724.063376557316,11875.427926139491,3310.3416955372604,15856.350537184924,8441.54588385475
11413,4.619667872481029,12209.121773376699,5982.643861963808,16011.563034858114,8551.987084517776
11414,3203.7702452264616,4514.942106137046,7519.1140749383885,8021.166654151461,5814.7482701133395
11415,3036.8038389770477,6955.48218469769,3036.8038389770477,10847.452328511077,5969.135547790716
11416,2814.3974318217793,4108.9452410827635,5742.749965242445,8101.698424058124,5191.947765551278
11417,2901.842565864345,4314.044709423639,5972.293110769059,8256.359520895932,5361.1349767382435
11418,3924.3759469550137,5903.378669922388,3924.3759469550137,9836.73245855859,5897.215755597752
11419,3718.7034145778907,6387.90454147957,3718.7034145778907,10378.658041592738,6050.992353057023
11420,3613.44996409582,6546.196349309459,4878.108027073577,10419.87791870396,6364.4080647957035
11421,2968.1525659484637,3944.066221151497,5230.849625225656,7826.529867615428,4992.399569985261
11422,1594.251968347601,13512.28661411133,7532.640702022242,17224.759923823116,9965.984802076073
11423,2077.153204369422,11758.10173622773,2077.153204369422,15739.44196063684,7912.962526400854
11426,6493.793870501607,16269.915470082868,6493.793870501607,19429.79958065401,12171.825697935023
11427,4451.851226944799,14237.45371179221,4451.851226944799,17603.328398107606,10186.121140947354
11428,4366.617881386307,14032.786904340344,4366.617881386307,18019.694683628368,10196.429337685331
11429,5028.937759829971,14456.815800323855,5028.937759829971,18449.644602538523,10741.08398063058
11432,249.8819674192265,9887.14613094337,249.8819674192265,13837.845554227837,6056.188905002416
11433,1722.55392078696,9592.892638139625,1722.55392078696,13584.732284598847,6655.683191078098
11434,2332.185155463167,9603.100882581892,6297.2693351748885,13229.221936715872,7865.444327483955
11435,1933.8938409517025,7933.959732536587,1933.8938409517025,11917.026884320898,5929.693574690223
11436,1805.738801676168,8346.758732821389,4154.387197803683,12229.911679719327,6634.199103005142
11691,7645.212151532769,13774.152790599665,12695.472945745321,16441.91636752992,12639.18856385192
11692,9228.797828497267,12378.533676492263,13361.078864564968,14548.669328083037,12379.269924409384
11693,9599.731906807676,10695.707025919075,12670.23578113714,12580.17966229342,11386.463594039327
11694,8848.240450930589,11321.351409097806,10317.015143457767,12196.187301581735,10670.698576266974
11697,5641.733786406827,12577.620436449748,5833.295458831604,11547.921409269296,8900.142772739368
99999,463.68382655595286,3479.0956154938704,1014.0887693479008,4066.7690669592284,2255.9093195892383
